incident_id,sensor_id,work_status,location_info_x,location_info_y,collect_time,air_temperature(°C),humidity(volume %),photosynthetic_effect(μmol/m²/s),atmo_pressure(Pa),light_sensor(Lux),min_wind_dir(°),max_wind_dir(°),avg_wind_dir(°),min_wind_speed(m/s),max_wind_speed(m/s),avg_wind_speed(m/s),rainfall(mm),rainfall_time(min),rainfall_extent(mm),max_rainfall_extent(mm),heat_temparature(°C),toppling_condition,co2_concentration(ppm)
389,311,1,87.30584,44.2181,202407191557,26.15,65.19,1405,94800,52950,165.1,165.1,165.1,0,0.6,0.4,275.2,13720,0,0,27.87,0,376
390,311,1,87.30584,44.2181,202407191657,26.78,61.1,1544,94730,77600,0,352,354.1,0.4,1,0.8,275.2,13720,0,0,28.3,0,371
391,311,1,87.30584,44.2181,202407191757,27.19,62.62,962,94690,71790,164,199.8,173.6,0.7,1.7,1.2,275.2,13720,0,0,28.99,0,374
392,311,1,87.30584,44.2181,202407191857,27.75,56.65,450,94670,83605,38.6,80.3,67.4,0.5,1.1,0.7,275.2,13720,0,0,29.63,0,374
393,311,1,87.30584,44.2181,202407191957,27.34,58.82,290,94680,38335,0,358.8,348.1,0.8,1.4,1.1,275.2,13720,0,0,29.89,0,382
394,311,1,87.30584,44.2181,202407192057,27.57,57.74,247,94730,36910,125.4,145,131.2,0.7,1.2,1,275.2,13720,0,0,30.32,0,381
395,311,1,87.30584,44.2181,202407192157,25.91,68.41,22,94800,3030,73,73,73,0.4,0.6,0.6,275.2,13720,0,0,26.69,0,450
396,311,1,87.30584,44.2181,202407192257,23.06,83.31,0,94840,45,306,306,306,0.5,0.5,0.5,275.2,13720,0,0,23.45,0,416
397,311,1,87.30584,44.2181,202407192357,24.1,76.91,0,94830,0,136.9,207.2,176.8,0.6,1,0.8,275.2,13720,0,0,24.08,0,497
398,311,1,87.30584,44.2181,202407200057,22.4,85.09,0,94800,0,163,163,163,0,0,0,275.2,13720,0,0,22.65,0,596
399,311,1,87.30584,44.2181,202407200157,21.17,88.81,0,94800,0,192.8,199.4,197.9,0.7,0.8,0.7,275.2,13720,0,0,21.31,0,470
400,311,1,87.30584,44.2181,202407200257,21.43,87.47,0,94820,0,180,189.4,188.2,0.6,0.8,0.7,275.2,13720,0,0,21.5,0,589
401,311,1,87.30584,44.2181,202407200357,20.08,90.21,0,94820,0,202.9,202.9,202.9,0,0,0,275.2,13720,0,0,20.49,0,567
402,311,1,87.30584,44.2181,202407200457,19.88,88.92,0,94810,0,186.3,194.9,190,0,1.3,0.8,275.2,13720,0,0,19.97,0,566
403,311,1,87.30584,44.2181,202407200557,18.75,91.87,0,94820,0,213.6,246.8,231.9,0.8,1.2,0.9,275.2,13720,0,0,18.72,0,567
404,311,1,87.30584,44.2181,202407200657,18.9,90.7,0,94860,0,203.6,219,213,1,1.3,1.2,275.2,13720,0,0,18.88,0,504
405,311,1,87.30584,44.2181,202407200757,18.84,90.31,91,94900,2335,202.6,202.6,202.6,0.5,0.8,0.6,275.2,13720,0,0,18.99,0,468
406,311,1,87.30584,44.2181,202407200857,20.49,85.72,352,94910,24835,206.5,206.5,206.5,0.6,0.7,0.6,275.2,13720,0,0,21.41,0,415
407,311,1,87.30584,44.2181,202407200957,23.49,77.03,673,94930,47885,232.5,232.5,232.5,0.5,0.7,0.7,275.2,13720,0,0,25.82,0,389
408,311,1,87.30584,44.2181,202407201057,26.45,56.62,991,94960,65875,180,211.4,196.8,0.4,0.9,0.7,275.2,13720,0,0,28.17,0,375
409,311,1,87.30584,44.2181,202407201157,27.94,55.17,1292,94940,80050,172,239,179.6,0.3,0.9,0.5,275.2,13720,0,0,29.43,0,373
410,311,1,87.30584,44.2181,202407201257,28.26,55.53,1544,94960,91595,245.7,270.5,258.7,1.2,2.2,1.7,275.2,13720,0,0,29.14,0,376
411,311,1,87.30584,44.2181,202407201357,29.09,50.65,1676,94950,55360,286.7,291.8,289.25,1.3,1.7,1.4,275.2,13720,0,0,29.85,0,373
412,311,1,87.30584,44.2181,202407201457,30.49,47.45,1726,94910,103955,196.1,224.9,212.7,0.7,1.1,0.9,275.2,13720,0,0,31.41,0,373
413,311,1,87.30584,44.2181,202407201557,30.27,47.65,1647,94850,103525,324.1,349.7,334.7,1.1,1.7,1.5,275.2,13720,0,0,31.05,0,373
414,311,1,87.30584,44.2181,202407201657,30.78,46.88,1450,94790,98165,5,356,357,1.3,2.4,1.9,275.2,13720,0,0,31.69,0,373
415,311,1,87.30584,44.2181,202407201757,32.1,39.7,1175,94750,89340,111.8,169.2,128.4,0.6,1.4,1,275.2,13720,0,0,33.93,0,381
416,311,1,87.30584,44.2181,202407201857,32.19,38.17,861,94730,76080,205,221,213.8,1,1.9,1.5,275.2,13720,0,0,34.65,0,381
417,311,1,87.30584,44.2181,202407201957,32.53,35.06,537,94710,59240,259.9,259.9,259.9,0.5,0.6,0.6,275.2,13720,0,0,37.04,0,369
418,311,1,87.30584,44.2181,202407202057,32.22,44.17,243,94730,38960,239,239,239,0.4,0.7,0.5,275.2,13720,0,0,35.53,0,373
419,311,1,87.30584,44.2181,202407202157,29.9,45.04,42,94750,12635,204.4,204.4,204.4,0.4,0.6,0.5,275.2,13720,0,0,31.11,0,434
420,311,1,87.30584,44.2181,202407202257,27.28,60.88,0,94760,100,180,180,180,0.4,0.6,0.5,275.2,13720,0,0,27.11,0,589
421,311,1,87.30584,44.2181,202407202357,23.9,72.51,0,94770,0,216.2,216.2,216.2,0,0.4,0.1,275.2,13720,0,0,24,0,570
422,311,1,87.30584,44.2181,202407210057,23.3,72.87,0,94750,0,189.4,198.4,195.3,0.6,0.9,0.8,275.2,13720,0,0,23.17,0,517
423,311,1,87.30584,44.2181,202407210157,22.15,75.59,0,94730,0,197,198.9,197.95,0.7,0.9,0.8,275.2,13720,0,0,22.13,0,575
424,311,1,87.30584,44.2181,202407210257,22.47,70.34,0,94710,0,199.2,220.7,212.7,1,1.4,1.2,275.2,13720,0,0,22.53,0,513
425,311,1,87.30584,44.2181,202407210357,20.76,80.12,0,94710,0,270,270,270,0,0.4,0,275.2,13720,0,0,20.9,0,563
426,311,1,87.30584,44.2181,202407210457,20.83,78.81,0,94740,0,171.4,171.4,171.4,0,0.4,0.2,275.2,13720,0,0,20.67,0,562
427,311,1,87.30584,44.2181,202407210557,20.23,78.44,0,94780,0,213.6,218.6,216.1,0.4,0.9,0.7,275.2,13720,0,0,20.26,0,481
428,311,1,87.30584,44.2181,202407210657,20.1,78.43,0,94860,0,224.9,258.9,242.2,1.8,2.8,2.3,275.2,13720,0,0,20.04,0,457
429,311,1,87.30584,44.2181,202407210757,19.93,78.33,70,94920,2460,231.5,245.3,238,1.7,2.3,1.9,275.2,13720,0,0,19.88,0,421
430,311,1,87.30584,44.2181,202407210857,20.94,77.75,402,94990,10930,253.7,280.5,270.5,2.2,2.7,2.5,275.2,13720,0,0,21.2,0,408
431,311,1,87.30584,44.2181,202407210957,22.34,76.59,657,95060,45960,269.4,285.7,278,1.9,3,2.6,275.2,13720,0,0,23.17,0,386
432,311,1,87.30584,44.2181,202407211057,24.92,71.88,1002,95090,63855,266.9,289.1,278.9,1.9,2.6,2.2,275.2,13720,0,0,25.52,0,379
433,311,1,87.30584,44.2181,202407211157,26.06,60.16,781,95050,39800,224.9,243.4,234.5,0.8,1.1,1,275.2,13720,0,0,26.82,0,368
434,311,1,87.30584,44.2181,202407211257,26.36,61.63,1323,95020,43225,231.3,266.8,260.9,0.6,0.8,0.7,275.2,13720,0,0,27.7,0,378
435,311,1,87.30584,44.2181,202407211357,27.71,53.7,2262,95000,69450,255.9,278.1,264,1,1.5,1.2,275.2,13720,0,0,29.17,0,366
436,311,1,87.30584,44.2181,202407211457,28.35,52.89,1645,94950,48355,257.1,270,262,0.8,1.3,1,275.2,13720,0,0,29.76,0,362
437,311,1,87.30584,44.2181,202407211557,29.18,51.5,787,94900,76015,260.5,275.6,268.1,1,1.6,1.3,275.4,13730,0.2,12,30.43,0,368
438,311,1,87.30584,44.2181,202407211657,30.6,43.98,1453,94810,97525,189.4,189.4,189.4,0,0.4,0.1,275.4,13730,0,0,31.88,0,384
439,311,1,87.30584,44.2181,202407211757,31.84,39.37,1176,94750,88270,114.6,126.8,114.7,0.4,0.9,0.6,275.4,13730,0,0,33.49,0,373
440,311,1,87.30584,44.2181,202407211857,32,37.6,856,94740,75065,71.5,71.5,71.5,0,0.4,0.2,275.4,13730,0,0,34.72,0,374
441,311,1,87.30584,44.2181,202407211957,31.59,48.02,530,94700,59010,260,280.9,275,0.9,1.6,1.3,275.4,13730,0,0,34.97,0,361
442,311,1,87.30584,44.2181,202407212057,30.74,50.4,248,94730,38215,262.4,276.8,270.7,0.9,1.4,1.2,275.4,13730,0,0,33.06,0,370
443,311,1,87.30584,44.2181,202407212157,28.62,57.15,37,94780,12700,260.8,270,267.2,1,1.4,1.2,275.4,13730,0,0,29.45,0,407
444,311,1,87.30584,44.2181,202407212257,25.09,70.87,0,94830,65,277.4,299.7,284.3,1,1.4,1.2,275.4,13730,0,0,25.26,0,400
445,311,1,87.30584,44.2181,202407212357,26.76,47.7,0,94910,0,326.3,356.5,339.6,1.1,2.8,1.8,275.4,13730,0,0,26.57,0,403
446,311,1,87.30584,44.2181,202407220057,25.07,47.44,0,94930,0,279.4,327.3,301.7,0.6,1.3,0.9,275.4,13730,0,0,24.91,0,440
447,311,1,87.30584,44.2181,202407220157,20.95,72.07,0,94950,0,191.5,200.9,197.6,0.5,1.3,1,275.4,13730,0,0,20.86,0,435
448,311,1,87.30584,44.2181,202407220257,21.6,65.07,0,94990,0,233.7,254.8,243.6,1.9,2.3,2.1,275.4,13730,0,0,21.6,0,425
449,311,1,87.30584,44.2181,202407220357,22.06,64.77,0,95100,0,266.3,284.9,272.7,1.7,3.5,2.4,275.4,13730,0,0,22.04,0,382
450,311,1,87.30584,44.2181,202407220457,20.29,70.04,0,95120,0,280.4,301.2,292.2,1.1,1.7,1.4,275.4,13730,0,0,20.38,0,397
451,311,1,87.30584,44.2181,202407220557,19.82,70.69,0,95140,0,252.3,279,263.6,2,3.1,2.7,275.4,13730,0,0,19.86,0,406
452,311,1,87.30584,44.2181,202407220657,19.95,71.84,0,95190,0,209.7,234,223.1,1,1.8,1.3,275.4,13730,0,0,20.04,0,418
453,311,1,87.30584,44.2181,202407220757,19.58,72.1,46,95230,830,224.9,239.3,232.4,1,1.4,1.1,275.4,13730,0,0,19.64,0,412
454,311,1,87.30584,44.2181,202407220857,19.83,72.73,174,95220,5640,217.4,217.4,217.4,0.3,0.8,0.6,275.4,13730,0,0,20.12,0,395
455,311,1,87.30584,44.2181,202407220957,21.71,69.62,347,95230,23735,183.1,206.5,195.4,0.5,0.9,0.7,275.4,13730,0,0,22.48,0,356
456,311,1,87.30584,44.2181,202407221057,23.54,67.87,697,95240,14330,270,270,270,0,0.3,0,275.4,13730,0,0,24.77,0,357
457,311,1,87.30584,44.2181,202407221157,25.98,48.62,1285,95210,74435,229.3,229.3,229.3,0.5,0.7,0.6,275.4,13730,0,0,27.47,0,366
458,311,1,87.30584,44.2181,202407221257,27.99,42.15,1547,95170,84440,216.2,216.2,216.2,0.4,0.7,0.6,275.4,13730,0,0,28.93,0,373
459,311,1,87.30584,44.2181,202407221357,28.66,40.18,1666,95120,77140,165.9,198.4,180.9,0.4,1,0.8,275.4,13730,0,0,29.69,0,378
460,311,1,87.30584,44.2181,202407221457,29.61,41.17,1722,95080,103565,289.9,313.8,301.1,0.7,0.8,0.8,275.4,13730,0,0,30.36,0,374
461,311,1,87.30584,44.2181,202407221557,30.1,41.39,1637,95050,101875,322.5,351.5,334.7,1.7,2.2,1.9,275.4,13730,0,0,30.86,0,367
462,311,1,87.30584,44.2181,202407221657,30.8,33.04,1441,95020,97900,290.9,290.9,290.9,0,0.5,0.1,275.4,13730,0,0,32.32,0,371
463,311,1,87.30584,44.2181,202407221757,31.24,38.97,1167,95000,88125,196.6,209.8,202.1,0.8,1.3,1,275.4,13730,0,0,32.89,0,374
464,311,1,87.30584,44.2181,202407221857,31.47,34.12,851,94970,75210,126,161.5,142.2,0.8,1.7,1.3,275.4,13730,0,0,33.96,0,366
465,311,1,87.30584,44.2181,202407221957,31.24,35.32,531,94960,57995,180,213.6,199.2,0.8,1.4,1.1,275.4,13730,0,0,34.85,0,369
466,311,1,87.30584,44.2181,202407222057,30.53,37.46,224,94980,16045,189.8,201.8,195.6,1.2,1.6,1.4,275.4,13730,0,0,32.13,0,370
467,311,1,87.30584,44.2181,202407222157,28.02,51.51,28,95030,4910,239,239,239,0.6,0.6,0.6,275.4,13730,0,0,28.45,0,446
468,311,1,87.30584,44.2181,202407222257,26.18,56.47,0,95090,50,180,180,180,0.6,0.8,0.7,275.4,13730,0,0,25.95,0,495
469,311,1,87.30584,44.2181,202407222357,25.27,50.92,0,95110,0,207.9,207.9,207.9,0.4,0.8,0.6,275.4,13730,0,0,24.95,0,466
470,311,1,87.30584,44.2181,202407230057,24.37,57.04,0,95120,0,180,188.1,184.9,0.7,1,0.8,275.4,13730,0,0,24.17,0,488
471,311,1,87.30584,44.2181,202407230157,23.39,63.68,0,95120,0,191,191,191,0.4,0.5,0.4,275.4,13730,0,0,23.17,0,524
472,311,1,87.30584,44.2181,202407230257,22.74,59.52,0,95100,0,198.4,213.6,206.5,0.7,1,0.8,275.4,13730,0,0,22.67,0,456
473,311,1,87.30584,44.2181,202407230357,22.37,63.14,0,95060,0,189.4,189.4,189.4,0.5,0.7,0.6,275.4,13730,0,0,22.02,0,527
474,311,1,87.30584,44.2181,202407230457,19.59,77.46,0,95070,0,22.5,22.5,22.5,0,0,0,275.4,13730,0,0,19.99,0,561
475,311,1,87.30584,44.2181,202407230557,18.55,81.27,0,95030,0,341.5,352,343.2,0.7,0.8,0.8,275.4,13730,0,0,18.87,0,570
476,311,1,87.30584,44.2181,202407230657,19.53,73.75,0,95050,0,231.3,231.3,231.3,0,0.6,0.1,275.4,13730,0,0,19.43,0,517
477,311,1,87.30584,44.2181,202407230757,19.21,74.48,78,95080,2485,236.3,236.3,236.3,0.5,0.7,0.6,275.4,13730,0,0,19.21,0,456
478,311,1,87.30584,44.2181,202407230857,20.99,69.02,350,95080,24170,189.4,195.5,191.3,0.7,0.8,0.8,275.4,13730,0,0,21.81,0,391
479,311,1,87.30584,44.2181,202407230957,24.1,68.03,667,95070,46270,206.5,224.9,219.6,0.7,1.2,1,275.4,13730,0,0,25.68,0,377
480,311,1,87.30584,44.2181,202407231057,26.74,55.72,984,95060,62485,186.3,186.3,186.3,0.4,0.7,0.6,275.4,13730,0,0,28.17,0,367
481,311,1,87.30584,44.2181,202407231157,28.65,50.55,1290,95010,77565,270,285.5,276.7,0.7,1,0.9,275.4,13730,0,0,29.89,0,372
482,311,1,87.30584,44.2181,202407231257,31.49,32.4,1533,94990,90590,62.4,95.1,82.1,1.1,1.8,1.4,275.4,13730,0,0,32.32,0,376
483,311,1,87.30584,44.2181,202407231357,31.59,35.89,1687,94960,98850,48.4,81.5,64,1.1,2.3,1.7,275.4,13730,0,0,32.25,0,385
484,311,1,87.30584,44.2181,202407231457,32.32,35.41,1719,94920,102795,55,55,55,0.4,0.6,0.5,275.4,13730,0,0,32.84,0,386
485,311,1,87.30584,44.2181,202407231557,33,30.7,1635,94870,102020,33.6,67.4,51.3,0.9,1.3,1,275.4,13730,0,0,33.76,0,384
486,311,1,87.30584,44.2181,202407231657,33.85,28.29,1441,94820,97260,113.6,129.7,116.7,0.3,1.7,1.1,275.4,13730,0,0,34.87,0,383
487,311,1,87.30584,44.2181,202407231757,34.48,26.87,1131,94760,87795,63.4,102.5,81.5,0.8,1.3,1,275.4,13730,0,0,35.53,0,379
488,311,1,87.30584,44.2181,202407231857,34.11,29.29,859,94710,75450,138.6,170.2,146.6,0.5,1.3,0.8,275.4,13730,0,0,36.59,0,382
489,311,1,87.30584,44.2181,202407231957,34.51,23.15,517,94660,58915,88.3,107,91.5,1.2,1.7,1.5,275.4,13730,0,0,37.96,0,368
490,311,1,87.30584,44.2181,202407232057,33.7,32.12,225,94630,37530,210.9,210.9,210.9,0,0.3,0.3,275.4,13730,0,0,36.94,0,372
491,311,1,87.30584,44.2181,202407232157,30.4,47.06,36,94640,11260,201.2,206.5,203.85,0.9,1,0.9,275.4,13730,0,0,31.41,0,443
492,311,1,87.30584,44.2181,202407232257,26.73,60.17,0,94650,65,199.9,199.9,199.9,0.6,0.7,0.7,275.4,13730,0,0,26.52,0,503
493,311,1,87.30584,44.2181,202407232357,24.8,62.57,0,94690,0,198.4,217.4,205.4,0.8,1,0.9,275.4,13730,0,0,24.67,0,475
494,311,1,87.30584,44.2181,202407240057,24.09,60.08,0,94710,0,213.6,213.6,213.6,0,0.4,0.1,275.4,13730,0,0,23.96,0,637
495,311,1,87.30584,44.2181,202407240157,22.35,70.64,0,94700,0,192.5,192.5,192.5,0,0.6,0.2,275.4,13730,0,0,22.46,0,513
496,311,1,87.30584,44.2181,202407240257,22.13,68.11,0,94700,0,198.4,206.5,202,1,1.3,1.2,275.4,13730,0,0,21.94,0,537
497,311,1,87.30584,44.2181,202407240357,21,72.75,0,94700,0,203.1,215.5,208.2,0.9,1.1,1,275.4,13730,0,0,20.94,0,548
498,311,1,87.30584,44.2181,202407240457,19.89,76.08,0,94690,0,209.3,209.3,209.3,0.5,0.6,0.5,275.4,13730,0,0,20.06,0,645
499,311,1,87.30584,44.2181,202407240557,19.27,78.4,0,94690,0,250.1,251.5,250.8,0.7,0.8,0.8,275.4,13730,0,0,19.32,0,591
500,311,1,87.30584,44.2181,202407240657,18.33,80.71,0,94690,0,198.4,211.4,206.3,0.7,0.9,0.8,275.4,13730,0,0,18.56,0,720
501,311,1,87.30584,44.2181,202407240757,17.35,84.34,69,94710,1820,180,180,180,0,0,0,275.4,13730,0,0,17.82,0,528
502,311,1,87.30584,44.2181,202407240857,19.9,78.23,326,94710,21630,206.5,210.1,208.3,0.7,0.9,0.8,275.4,13730,0,0,20.77,0,455
503,311,1,87.30584,44.2181,202407240957,24.11,60.3,640,94710,39890,221.6,221.6,221.6,0.5,0.7,0.6,275.4,13730,0,0,26.28,0,420
504,311,1,87.30584,44.2181,202407241057,27.12,53.58,976,94710,62350,104.6,140.4,130.7,0.6,1.4,1,275.4,13730,0,0,28.77,0,417
505,311,1,87.30584,44.2181,202407241157,29.08,45.82,1281,94670,77000,81.3,104,88.5,1,2,1.5,275.4,13730,0,0,29.94,0,399
506,311,1,87.30584,44.2181,202407241257,31.59,42.03,1527,94620,88820,54.4,91.7,73.6,1.1,2.6,1.7,275.4,13730,0,0,32.09,0,408
507,311,1,87.30584,44.2181,202407241357,33.34,32.58,1678,94580,97865,79.7,96.7,87.1,2.5,3.4,2.9,275.4,13730,0,0,33.83,0,382
508,311,1,87.30584,44.2181,202407241457,35.44,25.84,1721,94520,102370,81,97.7,89.2,3,4.6,3.6,275.4,13730,0,0,35.84,0,377
509,311,1,87.30584,44.2181,202407241557,35.66,25.73,845,94460,86260,79.9,93.6,88.9,3.2,5.2,4.6,275.4,13730,0,0,36.15,0,374
510,311,1,87.30584,44.2181,202407241657,36.33,25.8,1200,94390,89150,52.5,77.2,69.4,2,3.4,2.9,275.4,13730,0,0,36.99,0,379
511,311,1,87.30584,44.2181,202407241757,36.93,20.64,1180,94340,96425,30.7,54.8,47.5,1.5,2.3,2,275.4,13730,0,0,37.93,0,382
512,311,1,87.30584,44.2181,202407241857,36.63,21.36,862,94300,68255,50.2,69.2,59.5,1.6,2.3,1.9,275.4,13730,0,0,37.98,0,374
513,311,1,87.30584,44.2181,202407241957,35.98,28.42,503,94300,59965,203.1,209.7,205.7,0.9,1.1,1,275.4,13730,0,0,39.91,0,367
514,311,1,87.30584,44.2181,202407242057,33.54,45.83,170,94340,33395,260.5,261.8,261.15,0.5,1,0.8,275.4,13730,0,0,35.81,0,395
515,311,1,87.30584,44.2181,202407242157,29.77,61.08,35,94390,8745,270,270,270,0.4,0.6,0.5,275.4,13730,0,0,30.66,0,429
516,311,1,87.30584,44.2181,202407242257,27.27,52.82,0,94440,35,300.9,300.9,300.9,0.4,0.6,0.5,275.4,13730,0,0,27.28,0,391
517,311,1,87.30584,44.2181,202407242357,25.77,56.04,0,94500,0,270,281.6,276.3,1.4,2.2,1.8,275.4,13730,0,0,25.68,0,406
518,311,1,87.30584,44.2181,202407250057,25.79,59.32,0,94490,0,282.5,308.3,293.5,1.1,2.3,1.8,275.4,13730,0,0,25.8,0,397
519,311,1,87.30584,44.2181,202407250157,26.16,55.69,0,94490,0,274.3,298.7,288.2,1.8,2.7,2.3,275.4,13730,0,0,26.07,0,402
520,311,1,87.30584,44.2181,202407250257,24.64,60.63,0,94500,0,254.7,282.5,270.4,1.6,2,1.8,275.4,13730,0,0,24.67,0,407
521,311,1,87.30584,44.2181,202407250357,24.78,57.11,0,94530,0,246.8,267.4,254.8,1.7,2.5,2.1,275.4,13730,0,0,24.67,0,391
522,311,1,87.30584,44.2181,202407250457,24.73,54.63,0,94530,0,233.1,282.6,254.2,1.7,2.7,2.2,275.4,13730,0,0,24.71,0,391
523,311,1,87.30584,44.2181,202407250557,24.54,54.85,0,94550,0,236.3,261,249.3,1.7,2.3,2.1,275.4,13730,0,0,24.47,0,410
524,311,1,87.30584,44.2181,202407250657,23.7,60.4,0,94590,0,219.7,238.2,228.2,0.7,1.1,0.9,275.4,13730,0,0,23.76,0,410
525,311,1,87.30584,44.2181,202407250757,23.67,60.9,16,94660,300,224.9,240.4,232.7,1.2,1.9,1.5,275.4,13730,0,0,23.54,0,414
526,311,1,87.30584,44.2181,202407250857,23.1,68.84,51,94660,2895,192.5,215.5,200.8,0.8,1.2,1,275.4,13730,0,0,23.17,0,422
527,311,1,87.30584,44.2181,202407250957,23.67,67.53,177,94690,5860,154.7,180,162,0.4,0.9,0.7,275.4,13730,0,0,23.92,0,395
528,311,1,87.30584,44.2181,202407251057,24.67,66,543,94710,29600,261.2,279.2,272.3,0.8,1.1,1,275.4,13730,0,0,25.17,0,376
529,311,1,87.30584,44.2181,202407251157,26,63.87,210,94680,12590,260.2,261.4,260.8,0.5,0.9,0.7,275.4,13730,0,0,26.71,0,367
530,311,1,87.30584,44.2181,202407251257,25.79,63.91,285,94690,20095,311.6,327.1,320,1.1,1.7,1.4,275.4,13730,0,0,26.38,0,355
531,311,1,87.30584,44.2181,202407251357,25.53,68.2,490,94730,15520,232.8,232.8,232.8,0.5,0.7,0.6,275.4,13730,0,0,26.3,0,352
532,311,1,87.30584,44.2181,202407251457,27.41,54.81,675,94660,39290,321.3,329,321.4,0.5,0.8,0.7,275.4,13730,0,0,29.14,0,352
533,311,1,87.30584,44.2181,202407251557,28.63,54.98,772,94650,63555,161.5,188.1,172,0.4,1,0.8,275.4,13730,0,0,30.23,0,343
534,311,1,87.30584,44.2181,202407251657,29.71,45.08,1447,94610,93945,206.5,206.5,206.5,0,0.8,0.3,275.4,13730,0,0,31.27,0,356
535,311,1,87.30584,44.2181,202407251757,30.57,46.23,1216,94560,35875,176.8,189.4,186.1,0.6,1,0.8,275.4,13730,0,0,31.76,0,360
536,311,1,87.30584,44.2181,202407251857,32.06,39.45,833,94530,74265,55.4,128.4,85.5,0.6,1.2,0.8,275.4,13730,0,0,34.05,0,361
537,311,1,87.30584,44.2181,202407251957,31.87,38.85,518,94500,58680,104,123.8,115.3,1.2,1.8,1.5,275.4,13730,0,0,35.46,0,358
538,311,1,87.30584,44.2181,202407252057,31.54,41.54,220,94500,40520,199.9,199.9,199.9,0.7,0.7,0.7,275.4,13730,0,0,34.47,0,361
539,311,1,87.30584,44.2181,202407252157,29.43,53.29,35,94550,12250,194.6,194.6,194.6,0.5,0.6,0.6,275.4,13730,0,0,30.77,0,407
540,311,1,87.30584,44.2181,202407252257,25.5,68.79,0,94590,65,207.8,207.8,207.8,0.8,0.9,0.8,275.4,13730,0,0,25.34,0,408
541,311,1,87.30584,44.2181,202407252357,24.76,64.7,0,94620,0,202,213.6,208.6,1,1.1,1,275.4,13730,0,0,24.57,0,462
542,311,1,87.30584,44.2181,202407260057,23.66,66.16,0,94610,0,219.7,225.7,222.8,0.9,1.2,1,275.4,13730,0,0,23.39,0,462
543,311,1,87.30584,44.2181,202407260157,23.54,62.39,0,94590,0,203.1,213.6,208.4,0.9,1.1,1,275.4,13730,0,0,23.39,0,454
544,311,1,87.30584,44.2181,202407260257,23.2,63.72,0,94590,0,203.6,215.2,208.6,0.8,1,0.9,275.4,13730,0,0,22.98,0,518
545,311,1,87.30584,44.2181,202407260357,20.35,76.88,0,94600,0,173.2,189.4,183.8,0.7,1,0.9,275.4,13730,0,0,20.84,0,491
546,311,1,87.30584,44.2181,202407260457,21.38,69.4,0,94580,0,188.1,198.4,191.3,0.8,1.1,0.9,275.4,13730,0,0,21.29,0,467
547,311,1,87.30584,44.2181,202407260557,20.9,73.09,0,94600,0,308.6,335.5,315.8,0.6,0.9,0.8,275.4,13730,0,0,20.84,0,522
548,311,1,87.30584,44.2181,202407260657,20.85,72.59,0,94630,0,170.5,170.5,170.5,0,0.4,0.2,275.4,13730,0,0,20.77,0,543
549,311,1,87.30584,44.2181,202407260757,19.48,79.01,61,94660,1190,162.7,162.7,162.7,0,0.7,0.4,275.4,13730,0,0,19.8,0,488
550,311,1,87.30584,44.2181,202407260857,22.47,69.38,311,94670,18810,187.9,187.9,187.9,0.4,0.7,0.6,275.4,13730,0,0,23.06,0,440
551,311,1,87.30584,44.2181,202407260957,24.6,64.92,622,94690,41700,169.3,193.2,178,1,1.5,1.2,275.4,13730,0,0,26.38,0,400
552,311,1,87.30584,44.2181,202407261057,27.88,56.39,950,94690,59965,184.1,217.8,195.1,0.6,1.1,0.8,275.4,13730,0,0,29.23,0,371
553,311,1,87.30584,44.2181,202407261157,30.54,50,1262,94690,76330,202.6,228.3,219.9,0.5,0.9,0.7,275.4,13730,0,0,31.67,0,393
554,311,1,87.30584,44.2181,202407261257,33.27,35.84,1341,94670,90040,78.6,105.1,90.7,1.1,2.1,1.6,275.4,13730,0,0,34.28,0,379
555,311,1,87.30584,44.2181,202407261357,34.38,32.9,1693,94640,99080,96.3,110.7,103,1.3,2.5,1.7,275.4,13730,0,0,35.13,0,381
556,311,1,87.30584,44.2181,202407261457,35.12,28.99,1582,94600,116395,110.5,150.6,124.1,1.3,2.3,1.8,275.4,13730,0,0,35.94,0,387
557,311,1,87.30584,44.2181,202407261557,35.59,29.09,1615,94540,109955,43.4,73.1,57.3,1.2,2.3,1.7,275.4,13730,0,0,36.36,0,381
558,311,1,87.30584,44.2181,202407261857,36.13,33.57,857,94460,75525,255.9,282.9,270.4,0.9,1.5,1.2,275.4,13730,0,0,38.53,0,363
559,311,1,87.30584,44.2181,202407261957,35.68,34.84,539,94480,61590,276.1,285.5,281.1,1.2,1.5,1.4,275.4,13730,0,0,38.64,0,347
560,311,1,87.30584,44.2181,202407262057,33.63,37.89,166,94510,15445,189.4,189.4,189.4,0.6,0.7,0.7,275.4,13730,0,0,34.77,0,378
561,311,1,87.30584,44.2181,202407262157,30.88,48.64,24,94570,3755,224,224,224,0.5,0.7,0.6,275.4,13730,0,0,31.3,0,429
562,311,1,87.30584,44.2181,202407262257,28.67,50.87,0,94650,30,206.5,206.5,206.5,0.4,0.7,0.6,275.4,13730,0,0,28.69,0,393
563,311,1,87.30584,44.2181,202407262357,28.45,40.93,0,94720,0,236.3,264.8,253,1.1,1.6,1.3,275.4,13730,0,0,28.45,0,389
564,311,1,87.30584,44.2181,202407270057,27.55,41.42,0,94710,0,231.1,251.5,235.6,0.6,1,0.8,275.4,13730,0,0,27.47,0,396
565,311,1,87.30584,44.2181,202407270157,26.55,43.81,0,94670,0,213.6,239,227.6,0.7,1,0.8,275.4,13730,0,0,26.28,0,399
